0.005,8.3
0.01,9.6
0.015,13.0
0.02,24.85
0.025,42.3
0.03,78.95
0.035,140.35
0.04,344.35
0.045,758.45
0.05,2.5
0.055,14.6
0.06,12.15
0.065,26.15
0.07,46.1
0.075,79.2
0.08,192.7
0.085,358.75
0.09,684.5
0.095,2.25
0.1,5.0
0.105,12.0
0.11,21.6
0.115,45.25
0.12,94.85
0.125,173.65
0.13,353.25
0.135,675.65
0.14,2.85
0.145,3.45
0.15,8.95
0.155,31.7
0.16,44.95
0.165,85.65
0.17,181.7
0.175,344.1
0.18,668.95
0.185,2.05
0.19,3.35
0.195,6.6
0.2,27.35
0.205,46.6
0.21,103.35
0.215,202.45
0.22,321.3
0.225,671.7
0.23,3.05
0.235,13.5
0.24,13.35
0.245,27.4
0.25,55.7
0.255,127.55
0.26,261.35
0.265,504.85
0.27,1080.05
